
Advertiser enables a brand,"The Advertiser can enable a brand by creating and executing targeted marketing strategies. The brand can be added to a campaign, with its messaging, visuals, and promotions tailored to reach the desired audience."
Advertiser disables a brand,"The Advertiser can disable a brand by halting its marketing efforts, removing it from active campaigns, or withdrawing it from advertising platforms. This may involve deactivating the brand’s presence on social media, stopping paid advertisements, or ceasing content distribution. Additionally, the advertiser may choose to pause or end partnerships and promotions, effectively reducing the brand's visibility and reach."
Advertiser downloads csv for 'Brands' table ,"The Advertiser can download a CSV file for the 'Brands' table by simply downloading the file using option within the platform. This action retrieves all the brand data stored in the table, including brand names, campaign performance metrics, and other relevant details. The CSV file can then be opened in spreadsheet software like Excel or Google Sheets for further analysis, review, or reporting purposes."
Advertiser downloads csv for Campaigns table of a selected Brand ,"The Advertiser can download a CSV file for the 'Campaigns' table of a selected Brand by first choosing the specific brand within the platform. After selecting the brand, the advertiser can click the export option to download a CSV file that contains all campaign data related to that brand. This includes details such as campaign names, dates, performance metrics (e.g., impressions, clicks, conversions), and other relevant campaign-related data. The CSV file can be opened in spreadsheet software like Excel or Google Sheets for in-depth analysis, reporting, or further decision-making."
Advertiser adds a Campaign,"The Advertiser adds a Campaign by selecting the option to create a new campaign within the platform. This involves filling in key details such as the campaign name, target audience, start and end dates, budget, and campaign goals (e.g., awareness, conversions, engagement). Once all the details are set, the campaign is saved and sent for approval. The campaign will be reviewed by the necessary stakeholders or system for compliance and quality assurance. Once approved, the campaign becomes active for execution and monitoring."
Advertiser disables Campaign ,"The Advertiser disables a Campaign by selecting the specific campaign they wish to deactivate within the platform. This involves clicking the option to pause or stop the campaign, which halts all associated advertisements from running. Once disabled, the campaign will no longer be shown to the target audience, and any associated media spend will cease. The campaign may still be available for review, but it will be inactive and will not generate further impressions, clicks, or conversions until reactivated."
Advertiser enables Campaign ,"The Advertiser enables a Campaign by selecting the specific campaign they wish to activate within the platform. This involves clicking the option to start or reactivate the campaign, which allows the campaign itself to become active and resume. However, only the campaign is enabled; the associated ads will remain disabled until they are manually enabled by the advertiser. Once the ads are manually enabled, they will start running according to the campaign's parameters, and the campaign will begin to generate impressions, clicks, and conversions."
Advertiser downloads csv for Campaigns table ,"The Advertiser downloads a CSV file for the 'Campaigns' table by simply downloading the file using option within the platform. This action retrieves all campaign-related data, including campaign names, status, start and end dates, budget, performance metrics (e.g., impressions, clicks, conversions), and other relevant details. The CSV file is then downloaded to the advertiser's device, allowing them to open it in spreadsheet software like Excel or Google Sheets for further analysis, reporting, or record-keeping."
Advertiser adds a Creative ,"The Advertiser adds a Creative by selecting the option to create or upload a new creative within the platform. This involves choosing the type of creative (e.g., image, video). Once the creative is uploaded, it can be previewed, and adjustments can be made to ensure it aligns with the campaign’s goals and brand guidelines.
The creative will be active for the duration of the campaign only and cannot exceed the campaign's time frame. Additionally, the creative is targeted using different metrics such as age group, selected locations, interests, behaviors, and other relevant demographic or psychographic data. Once finalized, the creative is saved and ready to be included in active or upcoming campaigns."
Advertiser disables a Creative,"The Advertiser disables a Creative by selecting the specific creative they wish to deactivate within the platform. This involves clicking the option to pause or disable the creative, which stops the associated ads from being displayed. Once disabled, the creative will no longer be shown to the target audience, and any impressions, clicks, or conversions associated with it will cease. The creative remains in the system for future use, but it will not be active until manually enabled again."
Advertiser enables a Creative,"The Advertiser enables a Creative by selecting the specific creative they wish to activate within the platform. This involves clicking the option to enable or reactivate the creative, which allows the associated ads to be displayed again to the target audience. Once enabled, the creative becomes active and begins generating impressions, clicks, and conversions based on the campaign’s parameters. The creative will remain active for the duration of the campaign or until manually disabled."
Advertiser downloads csv for Advertisment table of a selected campaign,"The Advertiser downloads a CSV file for the 'Creatives' table of a selected campaign by first selecting the specific campaign within the platform. Once the campaign is chosen, the advertiser can click on the download button option to download the CSV file, which includes all creative-related data for that campaign. This data may include creative names, types, status (active or inactive), targeting details, performance metrics (e.g., impressions, clicks, conversions), and other relevant information. The CSV file is then downloaded to the advertiser’s device, where it can be opened in spreadsheet software like Excel or Google Sheets for further analysis, reporting, or record-keeping."
Advertiser adds a Proximity ,"The Advertiser adds a Proximity by using the platform’s search feature to find locations based on a specific query (e.g., 'coffee shops near me'). The advertiser can then set a radius around the location to define the targeted area. The platform will identify locations within that radius that have active screens (e.g., digital billboards or displays) and add them to a new proximity. Once the proximity is set, the advertiser can save the location details, allowing ads to be targeted to the selected locations with active screens within the defined radius."
Advertiser edits Proximity ,"The Advertiser edits and updates a Proximity by selecting the specific proximity they wish to modify within the platform. This involves adjusting parameters such as the search query (e.g., 'coffee shops near me'), the radius of the targeted area, or adding/removing locations based on active screens. The advertiser can refine the proximity targeting by changing the locations within the radius or adjusting the proximity type. Once the changes are made, the advertiser saves the updated proximity, which then reflects the new targeting settings for future campaigns"
